City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Mayo,US,38.89,-76.51,90.0,74,1,12.75,clear sky
83,Ranong,TH,9.97,98.63,78.82,74,100,2.98,overcast clouds
84,Mataura,NZ,-46.19,168.86,46.0,94,12,5.75,few clouds
85,Pedernales,DO,18.04,-71.74,75.2,100,90,13.87,thunderstorm with rain
86,Port Elizabeth,ZA,-33.92,25.57,57.2,87,97,5.82,overcast clouds
87,Verkhnyaya Inta,RU,65.98,60.31,42.21,84,0,4.16,clear sky
88,Cairns,AU,-16.92,145.77,57.2,82,58,2.24,broken clouds
89,Tual,ID,-5.67,132.75,79.43,77,50,17.92,scattered clouds
90,Nizhnekamsk,RU,55.64,51.82,57.2,100,12,6.71,fog
91,Najran,SA,17.49,44.13,89.6,18,100,3.09,overcast clouds
92,Vardo,NO,70.37,31.11,59.0,87,75,2.24,shower rain
93,Vila Velha,BR,-20.33,-40.29,72.0,68,43,13.87,scattered clouds
94,Champerico,GT,14.3,-91.92,86.0,70,75,6.93,broken clouds
95,Padang,ID,-0.95,100.35,78.31,72,98,4.32,overcast clouds
96,Dese,ET,11.13,39.63,53.73,98,68,8.77,heavy intensity rain
97,Praia,CV,14.92,-23.51,82.4,78,75,5.82,broken clouds
98,Sorland,NO,67.67,12.69,50.0,81,40,3.36,scattered clouds
99,Naze,JP,28.37,129.48,82.4,94,99,6.93,moderate rain
100,Kulhudhuffushi,MV,6.62,73.07,82.96,71,65,7.99,light rain
101,Natal,BR,-5.79,-35.21,77.0,73,41,11.41,scattered clouds
102,Hilo,US,19.73,-155.09,82.4,74,90,6.93,overcast clouds
103,Omboue,GA,-1.57,9.26,73.87,78,100,8.3,overcast clouds
104,Vagur,FO,61.47,-6.81,49.98,74,17,13.73,few clouds
105,Bethel,US,41.37,-73.41,87.01,51,1,8.05,clear sky
106,Vilhena,BR,-12.74,-60.15,87.8,38,19,6.93,few clouds
107,Yellowknife,CA,62.46,-114.35,61.0,51,20,5.82,few clouds
108,Puerto Ayora,EC,-0.74,-90.35,77.0,57,63,16.11,broken clouds
109,Eyrarbakki,IS,63.86,-21.15,51.8,76,63,3.36,broken clouds
110,Nikolskoye,RU,59.7,30.79,63.0,82,20,2.24,few clouds
111,Iqaluit,CA,63.75,-68.51,46.4,75,40,5.82,scattered clouds
112,Diamantino,BR,-14.41,-56.45,83.21,31,46,4.36,scattered clouds
113,Saskylakh,RU,71.92,114.08,39.92,86,0,6.76,clear sky
114,Tura,IN,25.52,90.22,74.01,95,1,4.05,clear sky
115,Konstantinovka,RU,49.62,127.98,62.58,82,84,3.38,broken clouds
116,Rawson,AR,-43.3,-65.1,63.14,30,86,9.28,overcast clouds
117,Sal Rei,CV,16.18,-22.92,78.8,83,75,13.87,broken clouds
118,Marsa Matruh,EG,31.35,27.25,78.8,74,0,4.7,clear sky
119,Anadyr,RU,64.75,177.48,53.6,87,40,4.47,light rain
120,San Patricio,MX,19.22,-104.7,89.6,66,40,11.41,scattered clouds
121,Zhenjiang,CN,32.21,119.43,81.0,85,0,1.01,clear sky
122,Dikson,RU,73.51,80.55,45.21,83,0,10.85,clear sky
123,Jamestown,US,42.1,-79.24,82.0,57,1,3.36,clear sky
124,Waddan,LY,29.16,16.14,75.81,52,0,10.69,clear sky
125,Amapa,BR,1.0,-52.0,78.94,70,33,2.98,light rain
126,Ilam,NP,26.92,87.92,65.88,91,7,2.33,clear sky
127,Mehamn,NO,71.04,27.85,53.6,93,99,2.24,overcast clouds
128,Palmas Bellas,PA,9.23,-80.09,82.0,78,100,3.0,light rain
129,Khatanga,RU,71.97,102.5,54.23,69,96,9.1,overcast clouds
130,Cam Ranh,VN,11.92,109.16,80.6,94,20,3.36,few clouds
131,Maningrida,AU,-12.07,134.27,64.53,63,0,12.57,clear sky
132,Gikongoro,RW,-2.46,29.57,60.24,61,9,3.91,clear sky
133,Karratha,AU,-20.74,116.85,71.24,37,69,3.06,broken clouds
134,Ponta Do Sol,PT,32.67,-17.1,72.0,75,0,6.06,clear sky
135,Harrisonburg,US,38.45,-78.87,86.0,100,90,4.68,light rain
136,Touros,BR,-5.2,-35.46,75.2,78,20,10.29,few clouds
137,Ambilobe,MG,-13.2,49.05,66.85,78,65,4.09,broken clouds
138,Barrow,US,71.29,-156.79,42.8,87,90,9.17,overcast clouds
139,Prainha,BR,-1.8,-53.48,82.65,58,1,1.81,clear sky
140,Kisangani,CD,0.52,25.2,70.18,93,100,0.92,overcast clouds
141,Upernavik,GL,72.79,-56.15,44.13,86,94,5.23,overcast clouds
142,Ust-Omchug,RU,61.15,149.63,37.89,73,0,5.97,clear sky
143,Sandwick,GB,60.0,-1.25,50.0,76,61,8.05,broken clouds
144,Nanortalik,GL,60.14,-45.24,46.51,79,0,5.53,clear sky
145,Beirut,LB,33.89,35.49,84.2,37,0,5.82,clear sky
146,Mionica,BA,44.87,18.46,72.0,83,75,4.7,broken clouds
147,Sampit,ID,-2.53,112.95,72.9,93,1,0.76,clear sky
148,Quatre Cocos,MU,-20.21,57.76,70.0,77,75,13.87,shower rain
149,Faanui,PF,-16.48,-151.75,76.64,78,16,19.53,few clouds
150,Miajadas,ES,39.15,-5.91,82.0,32,8,5.99,clear sky
151,Zamania,IN,25.43,83.57,81.79,75,1,4.79,light rain
152,Hithadhoo,MV,-0.6,73.08,82.54,79,51,13.15,light rain
153,Chicama,PE,-7.84,-79.15,68.83,59,1,7.63,clear sky
154,Guerrero Negro,MX,27.98,-114.06,85.95,43,27,19.48,scattered clouds
155,Hasaki,JP,35.73,140.83,75.2,100,75,6.93,mist
156,San Blas,MX,21.52,-105.27,80.6,78,75,11.41,broken clouds
157,Roma,US,43.21,-75.46,87.8,45,20,16.11,few clouds
158,Provideniya,RU,64.38,-173.3,51.8,76,90,3.65,light intensity drizzle
159,Kununurra,AU,-15.77,128.73,59.0,32,0,4.76,clear sky
160,Liverpool,GB,53.41,-2.98,60.8,77,75,8.05,broken clouds
161,Terrace Bay,CA,48.78,-87.1,73.4,73,40,4.7,scattered clouds
162,Tiksi,RU,71.69,128.87,39.13,80,99,10.27,overcast clouds
163,Porto Novo,BJ,6.5,2.6,75.2,94,20,10.29,few clouds
