City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
197,Wahiawa,US,89.6,overcast clouds,21.5,-158.02,The Inn At Schofield
201,Sorong,ID,76.69,broken clouds,-0.88,131.25,The Waigo Hotel
206,Kudahuvadhoo,MV,83.08,light rain,2.67,72.89,Kudahuvadhoo Retreat
207,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
209,Kinablangan,PH,78.64,clear sky,7.69,126.55,Mainit Balete Hot Spring
212,Weligama,LK,77.94,few clouds,5.97,80.42,Weligama Bay Resort
214,Lazaro Cardenas,MX,84.83,scattered clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
216,Freeport,US,82.0,few clouds,40.66,-73.58,The Freeport Inn and Marina
222,Zhoucun,CN,77.77,overcast clouds,36.82,117.82,Zibo Changxin Hotel
224,Coahuayana,MX,84.2,broken clouds,18.73,-103.68,Hotel Los Arcos
225,Bengkulu,ID,75.81,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
233,Bandarbeyla,SO,75.87,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
234,Filadelfia,US,87.01,light rain,39.95,-75.16,Loews Philadelphia Hotel
239,Acarau,BR,77.83,scattered clouds,-2.89,-40.12,castelo pizzaria
244,Camopi,GF,81.14,light rain,3.17,-52.32,
246,Katsuura,JP,77.0,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
247,Tateyama,JP,77.0,overcast clouds,34.98,139.87,Tateyama Seaside Hotel
249,Kasongo,CD,75.34,light rain,-4.45,26.67,Guest Hôtel
251,Roseburg,US,86.0,clear sky,43.22,-123.34,Holiday Inn Express Roseburg
261,Sri Aman,MY,77.0,overcast clouds,1.24,111.46,Seri Simanggang Hotel
267,Lorengau,PG,79.03,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
269,Victoria,HK,84.0,clear sky,22.29,114.16,Mini Hotel Central
270,Asmar,AF,79.3,light rain,35.03,71.36,
271,Gunjur,GM,80.6,broken clouds,13.2,-16.73,Kuba Lodge
274,Tamayo,DO,75.2,thunderstorm with rain,18.39,-71.2,Hoter Fla Halberto
275,Los Llanos De Aridane,ES,78.01,few clouds,28.66,-17.92,Valle Aridane
282,Davila,PH,81.05,broken clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
285,Salimpur,IN,79.16,clear sky,28.13,76.28,जाजम Royal Family Rao shab
286,Amarpur,IN,82.8,scattered clouds,25.03,86.9,Arpita Palace
288,Kushima,JP,78.8,broken clouds,31.46,131.23,Hanaoka
294,Porangatu,BR,85.73,broken clouds,-13.44,-49.15,Wembley Park Hotel
297,Ambon,ID,75.99,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
298,Barroquinha,BR,77.63,clear sky,-3.02,-41.14,Residencial Lago Bush
304,Harrisburg,US,89.6,moderate rain,40.27,-76.88,Hilton Harrisburg
307,Pacific Grove,US,80.01,smoke,36.62,-121.92,Lovers Point Inn
310,Arona,ES,78.01,clear sky,28.1,-16.68,Paradise Court
315,Portobelo,PA,82.0,light rain,9.55,-79.65,La Finca
317,Puerto Escondido,MX,80.6,light rain,15.85,-97.07,Aldea del Bazar Hotel and Spa
318,Namatanai,PG,80.82,light rain,-3.67,152.43,Namatanai Hotel
327,Tessalit,ML,89.33,light rain,20.2,1.01,
330,Ndioum,SN,89.6,overcast clouds,16.51,-14.65,l'hôtel samassa
331,Bushehr,IR,87.8,haze,28.97,50.84,Yas Hotel
332,Marathon,US,84.2,clear sky,44.9,-89.77,
333,Nanchang,CN,82.09,clear sky,28.68,115.88,Ruidu Hotel
334,Sola,VU,81.27,light rain,-13.88,167.55,Leumerus Bungalows
336,Chabahar,IR,81.54,overcast clouds,25.29,60.64,هتل گدروشیا
339,Hami,CN,77.54,broken clouds,42.8,93.45,Laoyutang Resort
342,Samarai,PG,75.69,overcast clouds,-10.62,150.67,Nuli Sapi
343,Pemangkat,ID,75.87,overcast clouds,1.17,108.97,Kost H.Syamsuddin
344,Salinopolis,BR,80.31,overcast clouds,-0.61,-47.36,Hotel Salinópolis
345,Luganville,VU,78.8,broken clouds,-15.53,167.17,The Espiritu Hotel
350,Funadhoo,MV,82.76,light rain,6.15,73.27,Dhaffalhu Tourist Lodge
351,La Asuncion,VE,84.2,light rain,11.03,-63.86,Colinas de Matasiete
352,Akdepe,TM,75.2,clear sky,42.06,59.38,Мой дом
353,San Ramon De La Nueva Oran,AR,75.0,clear sky,-23.13,-64.33,Hotel Residencial Centro
354,Umm Lajj,SA,83.05,clear sky,25.02,37.27,Moon light Furnished Units
361,Lompoc,US,75.0,few clouds,34.64,-120.46,Holiday Inn Express Lompoc
363,The Pas,CA,75.2,few clouds,53.83,-101.25,Wescana Inn
364,Muvattupula,IN,78.8,mist,9.97,76.58,Hotel Bharath Muvattupuzha
367,Altamira,BR,77.0,scattered clouds,-3.2,-52.21,Requinte Hotel
368,Gigmoto,PH,80.87,overcast clouds,13.78,124.39,Cj's Travellers Inn
369,Marsh Harbour,BS,85.5,light rain,26.54,-77.06,Abaco Beach Resort
374,Olinda,BR,78.8,few clouds,-8.01,-34.86,Hotel 5 Sóis
378,Pointe-Noire,CG,75.2,overcast clouds,-4.78,11.86,Kactus Lodge
380,Hammond,US,88.0,scattered clouds,41.58,-87.5,"Residence Inn by Marriott Chicago Southeast/Hammond, IN"
383,Lexington Park,US,90.0,few clouds,38.27,-76.45,TownePlace Suites by Marriott Lexington Park Patuxent River Naval Air Station
384,Zirandaro,MX,88.2,overcast clouds,18.45,-100.98,Hotel Pineda
389,Fomboni,KM,76.03,overcast clouds,-12.28,43.74,Auberge les abou
393,Dawlatabad,AF,80.31,clear sky,36.41,64.91,WASIM ASGAR KHAN
395,Xinxiang,CN,80.01,broken clouds,35.31,113.87,Guoyu Holiday Inn
397,Puerto Madero,MX,78.8,moderate rain,14.72,-92.42,Hotel La Central
401,Thinadhoo,MV,83.1,broken clouds,0.53,72.93,
402,Buala,SB,82.0,light rain,-8.14,159.59,Maringe Lagoon Lodge
406,Nantucket,US,75.0,few clouds,41.28,-70.1,Jared Coffin House
408,Half Moon Bay,US,80.01,scattered clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
411,Russell,US,84.99,light rain,32.35,-85.2,Macs
415,Urubicha,BO,79.38,clear sky,-15.38,-62.95,
416,Kashi,CN,80.6,clear sky,39.45,75.98,帕米尔青年旅舍
419,Danville,US,86.0,clear sky,36.59,-79.39,Holiday Inn Express Danville
425,Kota Kinabalu,MY,75.99,few clouds,5.97,116.07,Gaya Centre Hotel
429,Vila Do Maio,CV,82.4,broken clouds,15.13,-23.22,Residence 'I Delfini'
430,Sandakan,MY,77.0,few clouds,5.84,118.12,Hotel Sandakan
431,Goderich,CA,84.99,light rain,43.75,-81.72,Harmony Inn
435,Manjeshwar,IN,77.0,mist,12.72,74.89,THE NOUSHA VILLAGE
437,Westport,US,84.99,clear sky,41.14,-73.36,The Westport Inn
444,Yiyang,CN,78.46,clear sky,28.59,112.33,Tongcheng International Hotel
448,Alofi,NU,78.8,scattered clouds,-19.06,-169.92,Taloa Heights
452,Murgab,TM,84.2,broken clouds,37.5,61.97,
453,Puerto Carreno,CO,78.71,light rain,6.19,-67.49,Casa Hotel Victoria
457,Paliyad,IN,77.9,light rain,22.25,71.57,Aditya hotel and restaurant
458,Palauig,PH,81.21,broken clouds,15.44,119.9,Myhousebythesea
459,Sao Filipe,CV,79.7,broken clouds,14.9,-24.5,Tortuga B&B
462,Kavieng,PG,77.72,moderate rain,-2.57,150.8,Nusa Island Retreat
463,Pachino,IT,82.0,clear sky,36.72,15.09,Il Veliero
