City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Luderitz,NA,2020-08-22 23:54:38,-26.65,15.16,62.76,30,0,10.07
71,Saint-Philippe,RE,2020-08-22 23:57:24,-21.36,55.77,69.8,59,36,6.93
72,Sokoni,TZ,2020-08-22 23:57:24,-6.43,39.55,76.23,78,10,13.11
73,Nishihara,JP,2020-08-22 23:57:24,26.18,127.76,84.2,88,75,11.41
74,Shihezi,CN,2020-08-22 23:57:24,44.3,86.03,70.14,32,38,5.84
75,Blackwater,AU,2020-08-22 23:54:39,-23.58,148.88,60.8,33,0,11.52
76,Madang,PG,2020-08-22 23:57:25,-5.22,145.8,84.96,67,73,1.74
77,Ranong,TH,2020-08-22 23:57:25,9.97,98.63,75.2,100,20,7.14
78,Tura,IN,2020-08-22 23:55:06,25.52,90.22,72.75,97,67,3.65
79,Touros,BR,2020-08-22 23:57:25,-5.2,-35.46,75.2,88,40,9.17
80,Guerrero Negro,MX,2020-08-22 23:54:54,27.98,-114.06,83.44,56,0,19.57
81,Hilo,US,2020-08-22 23:53:23,19.73,-155.09,84.2,66,90,9.17
82,Byron Bay,AU,2020-08-22 23:57:25,-28.65,153.62,60.01,38,0,16.11
83,San Cristobal,VE,2020-08-22 23:57:25,7.77,-72.22,86.0,45,40,10.29
84,Saskylakh,RU,2020-08-22 23:57:25,71.92,114.08,45.73,58,4,5.95
85,Beringovskiy,RU,2020-08-22 23:57:25,63.05,179.32,56.03,76,85,12.71
86,Ibipeba,BR,2020-08-22 23:57:25,-11.64,-42.01,71.56,58,11,10.16
87,Belaya Kholunitsa,RU,2020-08-22 23:57:25,58.84,50.85,50.04,91,4,2.93
88,Abu Samrah,SY,2020-08-22 23:57:25,35.3,37.18,70.09,67,0,8.12
89,Lagos,NG,2020-08-22 23:57:25,6.58,3.75,77.0,88,20,5.82
90,Rocha,UY,2020-08-22 23:57:26,-34.48,-54.33,44.58,73,0,5.73
91,Tragana,GR,2020-08-22 23:57:26,38.62,23.12,77.0,62,0,3.13
92,Lexington,US,2020-08-22 23:57:26,37.99,-84.48,79.0,83,1,4.7
93,Faya,SA,2020-08-22 23:57:26,18.39,42.45,69.8,72,8,3.98
94,Bilibino,RU,2020-08-22 23:57:26,68.05,166.44,41.65,88,100,3.18
95,Oranjemund,NA,2020-08-22 23:57:26,-28.55,16.43,57.81,56,0,4.45
96,Bulgan,MN,2020-08-22 23:57:26,48.81,103.53,56.75,71,33,4.09
97,Gouyave,GD,2020-08-22 23:57:26,12.16,-61.73,84.2,79,20,17.22
98,Garden City,US,2020-08-22 23:53:08,42.33,-83.33,86.0,45,20,10.29
99,Anadyr,RU,2020-08-22 23:54:33,64.75,177.48,51.8,87,40,11.18
100,Carnarvon,AU,2020-08-22 23:57:26,-24.87,113.63,62.6,82,94,9.17
101,Victoria,HK,2020-08-22 23:56:39,22.29,114.16,84.99,74,7,4.0
102,Pangai,TO,2020-08-22 23:55:40,-19.8,-174.35,78.01,84,12,15.68
103,Namibe,AO,2020-08-22 23:54:23,-15.2,12.15,63.28,79,5,2.01
104,Teguise,ES,2020-08-22 23:57:26,29.06,-13.56,75.2,83,20,23.04
105,Keflavik,IS,2020-08-22 23:57:26,64.0,-22.56,48.2,93,0,8.05
106,Kahului,US,2020-08-22 23:54:32,20.89,-156.47,87.8,58,40,23.04
107,Juba,SS,2020-08-22 23:57:27,4.85,31.58,71.85,90,87,2.71
108,Bloomfield,US,2020-08-22 23:57:27,40.81,-74.19,87.01,62,1,7.27
109,Conakry,GN,2020-08-22 23:56:20,9.54,-13.68,75.2,94,75,6.93
110,Vardo,NO,2020-08-22 23:57:27,70.37,31.11,56.82,87,54,20.13
111,Ransang,PH,2020-08-22 23:57:27,8.96,117.58,83.12,70,63,2.95
112,Zhdankovskiy,RU,2020-08-22 23:57:27,53.75,38.18,55.15,87,24,3.02
113,Coihaique,CL,2020-08-22 23:54:52,-45.58,-72.07,48.2,61,75,5.82
114,Turukhansk,RU,2020-08-22 23:57:27,65.82,87.98,55.81,96,100,3.0
115,Richards Bay,ZA,2020-08-22 23:55:13,-28.78,32.04,63.57,70,0,11.41
116,Okhotsk,RU,2020-08-22 23:57:27,59.38,143.3,56.19,46,88,8.25
117,Aklavik,CA,2020-08-22 23:57:27,68.22,-135.01,59.0,72,40,2.24
118,Semenivka,UA,2020-08-22 23:57:27,52.18,32.58,54.64,83,2,4.27
119,Parabel,RU,2020-08-22 23:57:27,58.7,81.48,51.6,97,79,5.61
120,Bluff,NZ,2020-08-22 23:54:01,-46.6,168.33,48.0,94,100,3.0
121,Kaitangata,NZ,2020-08-22 23:57:27,-46.28,169.85,51.01,83,55,17.0
122,Qaanaaq,GL,2020-08-22 23:57:27,77.48,-69.36,37.94,86,100,1.97
123,Tuktoyaktuk,CA,2020-08-22 23:54:05,69.45,-133.04,53.6,81,20,12.75
124,Severo-Kurilsk,RU,2020-08-22 23:57:27,50.68,156.12,54.61,71,29,11.97
125,High Level,CA,2020-08-22 23:57:27,58.52,-117.14,57.2,93,90,9.17
126,Ojinaga,MX,2020-08-22 23:57:27,29.57,-104.42,98.6,20,1,18.34
127,Aksarka,RU,2020-08-22 23:57:27,66.56,67.8,47.41,95,42,13.09
128,Aasiaat,GL,2020-08-22 23:57:28,68.71,-52.87,38.16,76,0,4.85
129,Jinxi,CN,2020-08-22 23:57:28,30.43,116.29,83.12,73,0,1.05
130,Drezdenko,PL,2020-08-22 23:57:28,52.84,15.83,64.0,99,59,4.56
131,Aloleng,PH,2020-08-22 23:57:28,16.13,119.78,83.46,77,82,9.89
132,Monrovia,LR,2020-08-22 23:57:28,6.3,-10.8,77.0,94,75,6.93
133,Arraial Do Cabo,BR,2020-08-22 23:54:19,-22.97,-42.03,66.49,64,84,11.63
134,Tuatapere,NZ,2020-08-22 23:55:07,-46.13,167.68,48.0,94,100,3.0
135,Ingham,US,2020-08-22 23:57:28,42.6,-84.38,84.2,45,1,3.36
136,Atbasar,KZ,2020-08-22 23:57:28,51.8,68.33,51.22,93,5,6.4
137,Muriti,TZ,2020-08-22 23:57:28,-1.98,32.92,71.6,49,20,8.05
138,Ulaangom,MN,2020-08-22 23:57:28,49.98,92.07,55.62,68,9,4.68
139,Nalut,LY,2020-08-22 23:57:28,30.33,10.85,76.77,32,0,12.3
140,Saint George,US,2020-08-22 23:54:36,37.1,-113.58,104.0,21,1,12.75
141,Salalah,OM,2020-08-22 23:54:34,17.02,54.09,77.0,100,90,9.17
142,Walvis Bay,NA,2020-08-22 23:55:46,-22.96,14.51,64.53,25,0,2.82
143,Upington,ZA,2020-08-22 23:53:42,-28.45,21.26,50.0,25,0,3.36
144,Bethel,US,2020-08-22 23:57:28,41.37,-73.41,79.0,77,19,1.01
145,Evensk,RU,2020-08-22 23:57:28,61.95,159.23,53.19,57,98,10.96
146,Sistranda,NO,2020-08-22 23:57:29,63.73,8.83,59.0,93,75,3.36
147,Georgetown,MY,2020-08-22 23:55:23,5.41,100.34,80.6,94,20,2.24
148,Vila Franca Do Campo,PT,2020-08-22 23:56:01,37.72,-25.43,69.8,88,20,2.24
149,Plettenberg Bay,ZA,2020-08-22 23:57:29,-34.05,23.37,54.41,86,0,7.02
150,Lata,PT,2020-08-22 23:57:29,40.16,-8.33,64.99,89,0,1.01
151,Rorvik,NO,2020-08-22 23:57:29,64.86,11.24,59.11,85,81,19.08
152,Palu,ID,2020-08-22 23:56:02,-0.89,119.87,81.93,65,72,0.76
153,Broome,US,2020-08-22 23:57:29,42.25,-75.83,78.8,57,75,4.7
154,Aksu,CN,2020-08-22 23:57:29,41.12,80.26,71.24,42,0,3.15
155,San Patricio,MX,2020-08-22 23:57:29,19.22,-104.7,86.0,74,75,11.41
156,Fengzhen,CN,2020-08-22 23:57:29,40.44,113.15,62.19,90,100,2.37
157,Maragogi,BR,2020-08-22 23:57:29,-9.01,-35.22,73.56,85,37,8.77
158,Grand-Santi,GF,2020-08-22 23:57:29,4.25,-54.38,79.3,65,85,2.3
159,Pio Xii,BR,2020-08-22 23:57:29,-3.83,-45.15,77.4,82,34,6.26
160,Ponta Do Sol,PT,2020-08-22 23:57:29,32.67,-17.1,73.4,73,20,13.87
161,Zhigansk,RU,2020-08-22 23:57:29,66.77,123.37,44.49,69,57,18.21
162,Vila Velha,BR,2020-08-22 23:54:38,-20.33,-40.29,64.4,93,90,10.29
163,Nsanje,MW,2020-08-22 23:55:23,-16.92,35.26,64.89,79,60,4.41
164,Winnemucca,US,2020-08-22 23:57:29,40.97,-117.74,96.8,4,1,13.87
165,Dikson,RU,2020-08-22 23:54:06,73.51,80.55,48.13,75,96,8.05
166,Caxito,AO,2020-08-22 23:57:29,-8.58,13.66,73.33,80,72,1.88
167,Belyy Yar,RU,2020-08-22 23:54:49,53.6,91.39,48.2,100,20,2.24
168,Sioux Lookout,CA,2020-08-22 23:57:30,50.1,-91.92,68.0,88,90,6.93
169,Beloha,MG,2020-08-22 23:57:30,-25.17,45.05,63.01,80,7,12.95
